"id","room_type","status","date_reservation","time_reservation","days_of_week","check_in_date","check_out_date","sales_price","d2_hotel_occupancy","average_competitor_price","average_competitor_room_availability","no_of_reservations","created_at","updated_at"
"2419","Panorama Ocean Suite","Confirmed","2023-04-26","09:57:00","Thursday","2023-04-27","2023-04-28","36000.00","7.89","31962.40","19","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2420","Junior Suite","Confirmed","2023-04-17","13:27:00","Thursday","2023-04-27","2023-04-30","63000.00","8.33","20636.64","47","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2421","Super Deluxe King","Confirmed","2023-03-28","13:36:00","Thursday","2023-04-27","2023-05-01","42000.00","8.77","9567.97","30","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2422","Super Deluxe King","Confirmed","2023-04-12","09:57:00","Friday","2023-04-28","2023-05-02","46200.00","0.44","11295.11","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2423","Super Deluxe Twin","Confirmed","2023-04-26","20:27:00","Friday","2023-04-28","2023-05-01","29700.00","0.88","9895.52","34","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2424","Junior Suite","Confirmed","2023-04-12","09:05:00","Friday","2023-04-28","2023-04-30","46200.00","1.32","23693.19","50","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2425","Panorama Ocean Suite","Confirmed","2023-03-31","09:25:00","Friday","2023-04-28","2023-05-02","158400.00","1.75","37364.00","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2426","Junior Suite","Confirmed","2023-04-09","18:06:00","Friday","2023-04-28","2023-04-30","46200.00","2.19","23693.19","25","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2427","Super Deluxe Twin","Confirmed","2023-03-29","20:20:00","Friday","2023-04-28","2023-04-30","19800.00","2.63","9895.52","41","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2428","Super Deluxe King","Confirmed","2023-04-27","12:14:00","Friday","2023-04-28","2023-04-29","11550.00","3.07","11295.11","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2429","Panorama Ocean Suite","Confirmed","2023-04-23","15:40:00","Friday","2023-04-28","2023-05-02","158400.00","3.51","37364.00","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2430","Super Deluxe King","Confirmed","2023-04-24","20:43:00","Friday","2023-04-28","2023-05-01","34650.00","3.95","11295.11","40","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2431","Super Deluxe King","Confirmed","2023-04-21","18:03:00","Friday","2023-04-28","2023-05-01","34650.00","4.39","11295.11","48","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2432","Infinity Sea View","Confirmed","2023-04-07","20:03:00","Friday","2023-04-28","2023-04-30","33000.00","4.82","14784.35","41","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2433","Infinity Sea View","Confirmed","2023-04-21","15:28:00","Friday","2023-04-28","2023-05-01","49500.00","5.26","14784.35","28","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2434","Infinity Sea View","Confirmed","2023-04-15","12:39:00","Friday","2023-04-28","2023-04-30","33000.00","5.70","14784.35","27","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2435","Junior Suite","Confirmed","2023-04-26","18:28:00","Friday","2023-04-28","2023-05-02","92400.00","6.14","23693.19","11","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2436","Panorama Ocean Suite","Confirmed","2023-04-18","15:20:00","Friday","2023-04-28","2023-05-01","118800.00","6.58","37364.00","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2437","Infinity Sea View","Confirmed","2023-04-15","10:00:00","Friday","2023-04-28","2023-05-02","66000.00","7.02","14784.35","12","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2438","Infinity Sea View","Confirmed","2023-04-05","09:34:00","Friday","2023-04-28","2023-04-30","33000.00","7.46","14784.35","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2439","Infinity Sea View","Confirmed","2023-04-11","14:15:00","Friday","2023-04-28","2023-05-01","49500.00","7.89","14784.35","43","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2440","Super Deluxe Twin","Confirmed","2023-04-19","08:22:00","Friday","2023-04-28","2023-05-03","49500.00","8.33","9895.52","31","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2441","Infinity Sea View","Confirmed","2023-04-13","17:55:00","Friday","2023-04-28","2023-04-30","33000.00","8.77","14784.35","26","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2442","Panorama Ocean Suite","Confirmed","2023-04-12","11:02:00","Friday","2023-04-28","2023-05-02","158400.00","9.21","37364.00","34","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2443","Panorama Ocean Suite","Confirmed","2023-04-27","13:31:00","Friday","2023-04-28","2023-05-03","198000.00","9.65","37364.00","46","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2444","Super Deluxe Twin","Confirmed","2023-04-09","09:11:00","Friday","2023-04-28","2023-05-03","49500.00","10.09","9895.52","23","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2445","Junior Suite","Confirmed","2023-04-26","16:25:00","Friday","2023-04-28","2023-05-03","115500.00","10.53","23693.19","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2446","Super Deluxe Twin","Confirmed","2023-04-23","17:54:00","Friday","2023-04-28","2023-05-01","29700.00","10.96","9895.52","31","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2447","Junior Suite","Confirmed","2023-04-12","20:02:00","Friday","2023-04-28","2023-05-01","69300.00","11.40","23693.19","12","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2448","Infinity Sea View","Confirmed","2023-04-25","08:50:00","Friday","2023-04-28","2023-05-03","82500.00","11.84","14784.35","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2449","Infinity Sea View","Confirmed","2023-04-07","20:09:00","Friday","2023-04-28","2023-04-30","33000.00","12.28","14784.35","29","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2450","Junior Suite","Confirmed","2023-04-23","20:28:00","Saturday","2023-04-29","2023-05-03","92400.00","0.44","23447.65","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2451","Infinity Sea View","Confirmed","2023-04-04","15:15:00","Saturday","2023-04-29","2023-05-04","82500.00","0.88","14342.48","43","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2452","Infinity Sea View","Confirmed","2023-04-23","09:01:00","Saturday","2023-04-29","2023-05-04","82500.00","1.32","14342.48","24","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2453","Infinity Sea View","Confirmed","2023-04-17","11:14:00","Saturday","2023-04-29","2023-05-03","66000.00","1.75","14342.48","29","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2454","Infinity Sea View","Confirmed","2023-04-26","15:50:00","Saturday","2023-04-29","2023-05-03","66000.00","2.19","14342.48","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2455","Infinity Sea View","Confirmed","2023-04-21","14:37:00","Saturday","2023-04-29","2023-05-01","33000.00","2.63","14342.48","41","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2456","Panorama Ocean Suite","Confirmed","2023-04-15","12:52:00","Saturday","2023-04-29","2023-05-01","79200.00","3.07","37399.21","20","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2457","Super Deluxe Twin","Confirmed","2023-03-30","17:36:00","Saturday","2023-04-29","2023-05-02","29700.00","3.51","10389.62","27","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2458","Super Deluxe Twin","Confirmed","2023-04-02","16:02:00","Saturday","2023-04-29","2023-05-01","19800.00","3.95","10389.62","47","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2459","Junior Suite","Confirmed","2023-04-08","19:45:00","Saturday","2023-04-29","2023-05-04","115500.00","4.39","23447.65","48","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2460","Junior Suite","Confirmed","2023-04-05","16:23:00","Saturday","2023-04-29","2023-05-02","69300.00","4.82","23447.65","21","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2461","Super Deluxe King","Confirmed","2023-04-04","19:36:00","Saturday","2023-04-29","2023-05-02","34650.00","5.26","11246.95","28","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2462","Super Deluxe King","Confirmed","2023-04-28","12:35:00","Saturday","2023-04-29","2023-05-01","23100.00","5.70","11246.95","47","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2463","Super Deluxe King","Confirmed","2023-03-30","13:24:00","Saturday","2023-04-29","2023-05-04","57750.00","6.14","11246.95","12","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2464","Panorama Ocean Suite","Confirmed","2023-04-14","11:06:00","Saturday","2023-04-29","2023-05-02","118800.00","6.58","37399.21","18","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2465","Junior Suite","Confirmed","2023-04-10","08:23:00","Saturday","2023-04-29","2023-04-30","23100.00","7.02","23447.65","49","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2466","Panorama Ocean Suite","Confirmed","2023-04-25","12:21:00","Saturday","2023-04-29","2023-05-02","118800.00","7.46","37399.21","31","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2467","Super Deluxe Twin","Confirmed","2023-04-16","14:17:00","Saturday","2023-04-29","2023-05-03","39600.00","7.89","10389.62","19","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2468","Panorama Ocean Suite","Confirmed","2023-04-23","10:18:00","Saturday","2023-04-29","2023-05-04","198000.00","8.33","37399.21","17","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2469","Super Deluxe Twin","Confirmed","2023-04-25","11:16:00","Saturday","2023-04-29","2023-05-04","49500.00","8.77","10389.62","22","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2470","Super Deluxe King","Confirmed","2023-04-17","09:15:00","Saturday","2023-04-29","2023-05-02","34650.00","9.21","11246.95","34","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2471","Super Deluxe King","Confirmed","2023-04-24","13:29:00","Saturday","2023-04-29","2023-05-04","57750.00","9.65","11246.95","37","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2472","Super Deluxe King","Confirmed","2023-04-25","13:08:00","Saturday","2023-04-29","2023-05-04","57750.00","10.09","11246.95","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2473","Junior Suite","Confirmed","2023-04-11","20:19:00","Saturday","2023-04-29","2023-05-01","46200.00","10.53","23447.65","41","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2474","Super Deluxe King","Confirmed","2023-04-20","15:09:00","Saturday","2023-04-29","2023-05-04","57750.00","10.96","11246.95","37","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2475","Infinity Sea View","Confirmed","2023-04-03","19:35:00","Sunday","2023-04-30","2023-05-02","33000.00","0.44","14143.00","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2476","Infinity Sea View","Confirmed","2023-04-22","11:17:00","Sunday","2023-04-30","2023-05-02","33000.00","0.88","14143.00","35","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2477","Panorama Ocean Suite","Confirmed","2023-04-19","15:39:00","Sunday","2023-04-30","2023-05-01","39600.00","1.32","37711.56","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2478","Super Deluxe Twin","Confirmed","2023-04-13","09:27:00","Sunday","2023-04-30","2023-05-01","9900.00","1.75","10411.70","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2479","Junior Suite","Confirmed","2023-04-03","10:29:00","Sunday","2023-04-30","2023-05-03","69300.00","2.19","22901.17","39","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2480","Infinity Sea View","Confirmed","2023-04-03","20:48:00","Sunday","2023-04-30","2023-05-02","33000.00","2.63","14143.00","37","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2481","Infinity Sea View","Confirmed","2023-03-31","12:35:00","Sunday","2023-04-30","2023-05-01","16500.00","3.07","14143.00","19","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2482","Super Deluxe Twin","Confirmed","2023-04-28","20:02:00","Sunday","2023-04-30","2023-05-02","19800.00","3.51","10411.70","50","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2483","Panorama Ocean Suite","Confirmed","2023-04-17","19:24:00","Sunday","2023-04-30","2023-05-01","39600.00","3.95","37711.56","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2484","Super Deluxe King","Confirmed","2023-04-20","15:36:00","Sunday","2023-04-30","2023-05-01","11550.00","4.39","11299.76","23","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2485","Super Deluxe Twin","Confirmed","2023-04-08","18:34:00","Sunday","2023-04-30","2023-05-05","49500.00","4.82","10411.70","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2486","Infinity Sea View","Confirmed","2023-04-29","12:13:00","Sunday","2023-04-30","2023-05-01","16500.00","5.26","14143.00","14","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2487","Junior Suite","Confirmed","2023-04-25","18:30:00","Sunday","2023-04-30","2023-05-03","69300.00","5.70","22901.17","23","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2488","Infinity Sea View","Confirmed","2023-04-07","11:12:00","Sunday","2023-04-30","2023-05-01","16500.00","6.14","14143.00","20","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2489","Super Deluxe Twin","Confirmed","2023-03-31","08:13:00","Sunday","2023-04-30","2023-05-04","39600.00","6.58","10411.70","12","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2490","Panorama Ocean Suite","Confirmed","2023-04-03","18:21:00","Sunday","2023-04-30","2023-05-03","118800.00","7.02","37711.56","39","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2491","Panorama Ocean Suite","Confirmed","2023-04-11","09:57:00","Sunday","2023-04-30","2023-05-04","158400.00","7.46","37711.56","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2492","Junior Suite","Confirmed","2023-04-12","15:52:00","Sunday","2023-04-30","2023-05-04","92400.00","7.89","22901.17","17","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2493","Infinity Sea View","Confirmed","2023-04-06","11:50:00","Sunday","2023-04-30","2023-05-01","16500.00","8.33","14143.00","26","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2494","Infinity Sea View","Confirmed","2023-04-01","12:42:00","Sunday","2023-04-30","2023-05-03","49500.00","8.77","14143.00","45","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2495","Super Deluxe Twin","Confirmed","2023-04-27","10:27:00","Sunday","2023-04-30","2023-05-04","39600.00","9.21","10411.70","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2496","Junior Suite","Confirmed","2023-04-27","20:27:00","Sunday","2023-04-30","2023-05-02","46200.00","9.65","22901.17","31","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2497","Infinity Sea View","Confirmed","2023-04-19","08:32:00","Sunday","2023-04-30","2023-05-04","66000.00","10.09","14143.00","36","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2498","Junior Suite","Confirmed","2023-04-22","20:26:00","Sunday","2023-04-30","2023-05-02","46200.00","10.53","22901.17","10","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2499","Infinity Sea View","Confirmed","2023-04-18","14:23:00","Monday","2023-05-01","2023-05-02","15000.00","0.44","13045.00","25","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2500","Super Deluxe King","Confirmed","2023-04-09","17:52:00","Monday","2023-05-01","2023-05-06","52500.00","0.88","9825.55","49","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2501","Junior Suite","Confirmed","2023-04-18","17:29:00","Monday","2023-05-01","2023-05-05","84000.00","1.32","19643.62","39","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2502","Junior Suite","Confirmed","2023-04-12","20:20:00","Monday","2023-05-01","2023-05-06","105000.00","1.75","19643.62","14","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2503","Panorama Ocean Suite","Confirmed","2023-04-10","19:00:00","Monday","2023-05-01","2023-05-02","36000.00","2.19","32467.24","23","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2504","Infinity Sea View","Confirmed","2023-04-03","11:22:00","Monday","2023-05-01","2023-05-03","30000.00","2.63","13045.00","45","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2505","Super Deluxe Twin","Confirmed","2023-04-17","17:23:00","Monday","2023-05-01","2023-05-05","36000.00","3.07","9494.45","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2506","Junior Suite","Confirmed","2023-04-29","12:29:00","Monday","2023-05-01","2023-05-04","63000.00","3.51","19643.62","11","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2507","Super Deluxe King","Confirmed","2023-04-13","11:43:00","Monday","2023-05-01","2023-05-02","10500.00","3.95","9825.55","30","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2508","Junior Suite","Confirmed","2023-04-11","09:43:00","Monday","2023-05-01","2023-05-03","42000.00","4.39","19643.62","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2509","Super Deluxe Twin","Confirmed","2023-04-11","19:42:00","Monday","2023-05-01","2023-05-02","9000.00","4.82","9494.45","47","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2510","Super Deluxe King","Confirmed","2023-04-12","08:34:00","Monday","2023-05-01","2023-05-06","52500.00","5.26","9825.55","18","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2511","Super Deluxe Twin","Confirmed","2023-04-21","16:40:00","Monday","2023-05-01","2023-05-02","9000.00","5.70","9494.45","29","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2512","Panorama Ocean Suite","Confirmed","2023-04-23","17:25:00","Monday","2023-05-01","2023-05-03","72000.00","6.14","32467.24","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2513","Super Deluxe Twin","Confirmed","2023-04-28","13:45:00","Monday","2023-05-01","2023-05-05","36000.00","6.58","9494.45","45","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2514","Super Deluxe King","Confirmed","2023-04-21","15:24:00","Monday","2023-05-01","2023-05-05","42000.00","7.02","9825.55","25","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2515","Super Deluxe King","Confirmed","2023-04-07","16:31:00","Monday","2023-05-01","2023-05-05","42000.00","7.46","9825.55","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2516","Panorama Ocean Suite","Confirmed","2023-04-20","16:35:00","Monday","2023-05-01","2023-05-02","36000.00","7.89","32467.24","50","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2517","Panorama Ocean Suite","Confirmed","2023-04-06","12:17:00","Tuesday","2023-05-02","2023-05-04","72000.00","0.44","32560.60","24","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2518","Infinity Sea View","Confirmed","2023-04-28","08:44:00","Tuesday","2023-05-02","2023-05-05","45000.00","0.88","13648.32","29","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2519","Super Deluxe King","Confirmed","2023-05-01","14:47:00","Tuesday","2023-05-02","2023-05-05","31500.00","1.32","10291.85","41","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2520","Junior Suite","Confirmed","2023-04-14","10:30:00","Tuesday","2023-05-02","2023-05-05","63000.00","1.75","18879.72","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2521","Super Deluxe King","Confirmed","2023-04-17","17:09:00","Tuesday","2023-05-02","2023-05-06","42000.00","2.19","10291.85","22","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2522","Super Deluxe King","Confirmed","2023-04-30","16:32:00","Tuesday","2023-05-02","2023-05-04","21000.00","2.63","10291.85","14","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2523","Super Deluxe King","Confirmed","2023-04-24","20:20:00","Tuesday","2023-05-02","2023-05-07","52500.00","3.07","10291.85","49","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2524","Infinity Sea View","Confirmed","2023-04-25","15:48:00","Tuesday","2023-05-02","2023-05-05","45000.00","3.51","13648.32","33","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2525","Panorama Ocean Suite","Confirmed","2023-04-03","12:26:00","Tuesday","2023-05-02","2023-05-07","180000.00","3.95","32560.60","26","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2526","Panorama Ocean Suite","Confirmed","2023-04-15","10:24:00","Tuesday","2023-05-02","2023-05-05","108000.00","4.39","32560.60","32","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2527","Infinity Sea View","Confirmed","2023-04-28","10:09:00","Tuesday","2023-05-02","2023-05-03","15000.00","4.82","13648.32","43","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2528","Super Deluxe King","Confirmed","2023-04-27","15:54:00","Tuesday","2023-05-02","2023-05-05","31500.00","5.26","10291.85","41","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2529","Super Deluxe King","Confirmed","2023-04-15","13:28:00","Tuesday","2023-05-02","2023-05-07","52500.00","5.70","10291.85","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2530","Panorama Ocean Suite","Confirmed","2023-04-30","18:52:00","Tuesday","2023-05-02","2023-05-06","144000.00","6.14","32560.60","33","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2531","Junior Suite","Confirmed","2023-04-24","08:05:00","Tuesday","2023-05-02","2023-05-06","84000.00","6.58","18879.72","34","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2532","Super Deluxe Twin","Confirmed","2023-04-25","19:40:00","Tuesday","2023-05-02","2023-05-05","27000.00","7.02","8813.08","49","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2533","Infinity Sea View","Confirmed","2023-04-05","10:57:00","Tuesday","2023-05-02","2023-05-07","75000.00","7.46","13648.32","11","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2534","Super Deluxe King","Confirmed","2023-04-08","18:15:00","Wednesday","2023-05-03","2023-05-06","31500.00","0.44","10012.35","22","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2535","Panorama Ocean Suite","Confirmed","2023-04-14","13:30:00","Wednesday","2023-05-03","2023-05-06","108000.00","0.88","33353.98","43","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2536","Infinity Sea View","Confirmed","2023-04-09","15:14:00","Wednesday","2023-05-03","2023-05-05","30000.00","1.32","12659.95","16","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2537","Super Deluxe Twin","Confirmed","2023-04-14","12:06:00","Wednesday","2023-05-03","2023-05-05","18000.00","1.75","9601.49","21","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2538","Junior Suite","Confirmed","2023-04-22","17:37:00","Wednesday","2023-05-03","2023-05-06","63000.00","2.19","19558.04","19","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2539","Super Deluxe Twin","Confirmed","2023-04-05","08:44:00","Wednesday","2023-05-03","2023-05-08","45000.00","2.63","9601.49","31","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2540","Super Deluxe Twin","Confirmed","2023-04-09","12:11:00","Wednesday","2023-05-03","2023-05-05","18000.00","3.07","9601.49","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2541","Infinity Sea View","Confirmed","2023-04-08","11:34:00","Wednesday","2023-05-03","2023-05-04","15000.00","3.51","12659.95","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2542","Infinity Sea View","Confirmed","2023-04-28","14:14:00","Wednesday","2023-05-03","2023-05-07","60000.00","3.95","12659.95","29","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2543","Infinity Sea View","Confirmed","2023-04-21","15:57:00","Wednesday","2023-05-03","2023-05-06","45000.00","4.39","12659.95","29","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2544","Infinity Sea View","Confirmed","2023-04-03","18:07:00","Wednesday","2023-05-03","2023-05-06","45000.00","4.82","12659.95","20","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2545","Panorama Ocean Suite","Confirmed","2023-04-10","20:51:00","Wednesday","2023-05-03","2023-05-07","144000.00","5.26","33353.98","42","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2546","Super Deluxe King","Confirmed","2023-04-29","19:02:00","Wednesday","2023-05-03","2023-05-04","10500.00","5.70","10012.35","50","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2547","Panorama Ocean Suite","Confirmed","2023-04-21","20:00:00","Wednesday","2023-05-03","2023-05-06","108000.00","6.14","33353.98","38","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2548","Panorama Ocean Suite","Confirmed","2023-04-10","11:54:00","Wednesday","2023-05-03","2023-05-04","36000.00","6.58","33353.98","27","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2549","Super Deluxe Twin","Confirmed","2023-04-18","17:32:00","Wednesday","2023-05-03","2023-05-07","36000.00","7.02","9601.49","33","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2550","Infinity Sea View","Confirmed","2023-05-01","12:34:00","Wednesday","2023-05-03","2023-05-08","75000.00","7.46","12659.95","35","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2551","Super Deluxe Twin","Confirmed","2023-04-06","14:55:00","Wednesday","2023-05-03","2023-05-04","9000.00","7.89","9601.49","39","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2552","Super Deluxe King","Confirmed","2023-04-27","14:34:00","Wednesday","2023-05-03","2023-05-06","31500.00","8.33","10012.35","49","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2553","Infinity Sea View","Confirmed","2023-04-17","19:06:00","Wednesday","2023-05-03","2023-05-04","15000.00","8.77","12659.95","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2554","Super Deluxe Twin","Confirmed","2023-04-18","14:38:00","Thursday","2023-05-04","2023-05-07","27000.00","0.44","9879.65","27","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2555","Panorama Ocean Suite","Confirmed","2023-04-04","11:15:00","Thursday","2023-05-04","2023-05-05","36000.00","0.88","34523.83","36","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2556","Super Deluxe King","Confirmed","2023-05-03","16:44:00","Thursday","2023-05-04","2023-05-09","52500.00","1.32","9974.70","27","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2557","Super Deluxe Twin","Confirmed","2023-04-11","19:17:00","Thursday","2023-05-04","2023-05-08","36000.00","1.75","9879.65","22","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2558","Junior Suite","Confirmed","2023-04-15","16:28:00","Thursday","2023-05-04","2023-05-06","42000.00","2.19","20375.05","25","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2559","Junior Suite","Confirmed","2023-05-02","20:51:00","Thursday","2023-05-04","2023-05-05","21000.00","2.63","20375.05","44","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2560","Super Deluxe King","Confirmed","2023-04-14","12:10:00","Thursday","2023-05-04","2023-05-06","21000.00","3.07","9974.70","13","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2561","Super Deluxe King","Confirmed","2023-05-03","10:24:00","Thursday","2023-05-04","2023-05-07","31500.00","3.51","9974.70","26","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
"2562","Panorama Ocean Suite","Confirmed","2023-04-21","20:55:00","Thursday","2023-05-04","2023-05-07","108000.00","3.95","34523.83","48","1","2025-02-28 07:37:27","2025-02-28 07:37:27"
